stub,n_rois,mean_roi_area_nm2,summed_roi_area_nm2,total_fenestration_area_nm2,total_fenestration_area_um2,summed_roi_area_um2
PR12_ME_07,648,1699.2046790617287,1101084.6320320002,1101084.6320320002,1.1010846320320002,1.1010846320320002
PR20_ME_13,658,1669.7518618541033,1098696.7251,1098696.7251,1.0986967251,1.0986967251
PR1_ME_overview26,623,1761.91064752488,1097670.3334080002,1097670.3334080002,1.0976703334080002,1.0976703334080002
PR6_ME_13,592,1844.6626262702705,1092040.274752,1092040.274752,1.0920402747520002,1.0920402747520002
FAS16_ME_09,518,2093.60297861583,1084486.342923,1084486.342923,1.084486342923,1.084486342923
PR6_ME_15,614,1755.4181638045604,1077826.752576,1077826.752576,1.0778267525760001,1.0778267525760001
PR20_ME_21,527,2041.0198018975332,1075617.4356,1075617.4356,1.0756174356,1.0756174356
PR20_ME_24,599,1792.5288776293824,1073724.7977,1073724.7977,1.0737247977,1.0737247977
FAS6_ME_new_35,590,1816.6646776271186,1071832.1598,1071832.1598,1.0718321598,1.0718321598
FAS19_ME_04,420,2550.8259110952376,1071346.88266,1071346.88266,1.0713468826599999,1.0713468826599999
FAS4_ME_new_17,545,1939.5330543559635,1057045.514624,1057045.514624,1.057045514624,1.057045514624
FAS4_ME_new_19,572,1815.9912726153848,1038747.0079360001,1038747.0079360001,1.0387470079360002,1.0387470079360002
PR22_ME_15,689,1487.31683904209,1024761.3021,1024761.3021,1.0247613021,1.0247613021
PR5_ME_05,435,2351.6998791356323,1022989.4474240001,1022989.447424,1.022989447424,1.0229894474240002
PR13_ME_03,405,2518.2768816592593,1019902.1370720001,1019902.137072,1.019902137072,1.019902137072
FAS20_ME_27,575,1753.446459102609,1008231.7139840001,1008231.7139840001,1.0082317139840002,1.0082317139840002
PR21_ME_05,468,2149.489996288462,1005961.3182630001,1005961.3182630002,1.0059613182630003,1.005961318263
FAS20_ME_22,666,1510.2768353873876,1005844.3723680001,1005844.3723680001,1.0058443723680002,1.0058443723680002
FAS6_ME_new_02,636,1579.2515175094343,1004403.9651360002,1004403.9651360002,1.0044039651360002,1.0044039651360002
PR16_ME_09,470,2125.262362144681,998873.310208,998873.310208,0.998873310208,0.998873310208
FAS6_ME_new_22,550,1815.942122181818,998768.1671999999,998768.1671999999,0.9987681672,0.9987681672
PR16_ME_08,559,1779.454946690519,994715.3152000001,994715.3152000001,0.9947153152000001,0.9947153152000001
PR20_ME_28,482,2039.7595780082986,983164.1166,983164.1166,0.9831641165999999,0.9831641165999999
PR22_ME_14,641,1531.6519352574103,981788.8905,981788.8905,0.9817888905,0.9817888905
PR10_ME_15,651,1501.1050734746545,977219.402832,977219.4028320002,0.9772194028320002,0.977219402832
FAS15_ME_04,594,1642.4273216700337,975601.829072,975601.829072,0.975601829072,0.975601829072
FAS24_ME_07,622,1567.3400558006433,974885.5147080001,974885.5147080001,0.9748855147080001,0.9748855147080001
FAS24_ME_17,656,1485.6639739420732,974595.566906,974595.566906,0.974595566906,0.974595566906
FAS24_ME_22,517,1882.5263124835592,973266.1035540001,973266.1035540001,0.9732661035540001,0.9732661035540001
