stub,n_rois,mean_roi_area_nm2,summed_roi_area_nm2,total_fenestration_area_nm2,total_fenestration_area_um2,summed_roi_area_um2
PR5_ME_38,441,1944.110030512472,857352.5234560001,857352.5234560001,0.8573525234560001,0.8573525234560001
PR22_ME_18,592,1446.710625,856452.69,856452.69,0.8564526899999999,0.8564526899999999
PR14_ME_09,320,2666.5038741000003,853281.2397120001,853281.2397120001,0.8532812397120001,0.8532812397120001
PR17_ME_25,477,1788.1050735849055,852926.1201,852926.1201,0.8529261200999999,0.8529261200999999
PR10_ME_21,441,1921.7085149387756,847473.455088,847473.455088,0.8474734550880001,0.8474734550880001
PR16_ME_04,513,1649.9288367407407,846413.493248,846413.493248,0.8464134932480001,0.8464134932480001
PR5_ME_23,511,1652.690181009785,844524.6824960001,844524.6824960001,0.8445246824960001,0.8445246824960001
PR5_ME_20,414,2039.38446531401,844305.1686400002,844305.1686400002,0.8443051686400002,0.8443051686400002
PR13_ME_11,489,1724.931482993865,843491.495184,843491.495184,0.843491495184,0.843491495184
PR20_ME_27,509,1654.021766404715,841897.0791,841897.0791,0.8418970791,0.8418970791
FAS23_ME_08,515,1631.3636905339806,840152.300625,840152.300625,0.840152300625,0.840152300625
FAS16_ME_12,475,1768.219209263158,839904.1244000001,839904.1244000001,0.8399041244000001,0.8399041244000001
PR16_ME_24,488,1720.333458885246,839522.7279360001,839522.7279360001,0.8395227279360001,0.8395227279360001
PR22_ME_16,547,1526.8203394881168,835170.7257,835170.7257,0.8351707257,0.8351707257
PR6_ME_08,468,1782.406778666667,834166.3724160001,834166.3724160001,0.8341663724160001,0.8341663724160001
FAS6_ME_new_19,655,1273.1781077862595,833931.6606,833931.6606,0.8339316605999999,0.8339316605999999
PR6_ME_48,415,2009.4241210698794,833911.010244,833911.010244,0.833911010244,0.833911010244
PR20_ME_25,523,1592.3807655831738,832815.1403999999,832815.1403999999,0.8328151403999999,0.8328151403999999
PR13_ME_19,465,1785.9672943483872,830474.7918720001,830474.7918720001,0.8304747918720001,0.8304747918720001
PR10_ME_22,543,1524.228234961326,827655.931584,827655.931584,0.827655931584,0.827655931584
PR17_ME_17,544,1517.7946764705882,825680.304,825680.304,0.825680304,0.825680304
PR17_ME_39,418,1974.855690430622,825489.6786,825489.6786,0.8254896786,0.8254896786
PR16_ME_12,392,2102.546667102041,824198.2935040001,824198.2935040001,0.8241982935040001,0.8241982935040001
FAS6_ME_new_18,647,1271.1797346213293,822453.2883,822453.2883,0.8224532883,0.8224532883
FAS16_ME_10,484,1697.5322680000004,821605.6177120002,821605.6177120002,0.8216056177120001,0.8216056177120001
PR22_ME_20,514,1598.4545091673156,821605.6177120002,821605.6177120002,0.8216056177120001,0.8216056177120001
PR12_ME_overview05,418,1963.4578202105265,820725.3688480001,820725.3688480001,0.8207253688480001,0.8207253688480001
PR12_ME_05,418,1963.4578202105265,820725.3688480001,820725.3688480001,0.8207253688480001,0.8207253688480001
FAS20_ME_13,428,1907.7667782429908,816524.1810880001,816524.1810880001,0.8165241810880001,0.8165241810880001
FAS4_ME_new_15,446,1820.694118923767,812029.5770400001,812029.5770400001,0.8120295770400001,0.8120295770400001
PR6_ME_37,497,1633.8489178913483,812022.9121920001,812022.9121920001,0.8120229121920001,0.8120229121920001
PR13_ME_05,307,2640.9243997394137,810763.79072,810763.79072,0.81076379072,0.81076379072
PR17_ME_09,521,1555.6328913627638,810484.7363999999,810484.7363999999,0.8104847364,0.8104847364
PR20_ME_20,507,1597.1389881656803,809749.467,809749.467,0.809749467,0.809749467
PR16_ME_18,493,1634.9094000162274,806010.3342080001,806010.3342080001,0.8060103342080001,0.8060103342080001
PR22_ME_12,441,1827.1509428571428,805773.5658,805773.5658,0.8057735658,0.8057735658
PR17_ME_51,457,1753.527241575492,801361.9493999999,801361.9493999999,0.8013619493999999,0.8013619493999999
PR17_ME_16,495,1614.676909090909,799265.07,799265.07,0.7992650699999999,0.7992650699999999
FAS24_ME_23,421,1891.4523610831354,796301.444016,796301.444016,0.796301444016,0.796301444016
PR10_ME_28,431,1845.5643147656615,795438.2196640001,795438.2196640001,0.7954382196640001,0.7954382196640001
PR20_ME_07,504,1577.7655875,795193.8561,795193.8561,0.7951938560999999,0.7951938560999999
FAS6_ME_new_23,523,1509.5646774378583,789502.3263,789502.3263,0.7895023263,0.7895023263
PR17_ME_18,499,1580.3134899799597,788576.4315,788576.4315,0.7885764314999999,0.7885764314999999
FAS19_ME_05,501,1567.5225093013971,785328.7771599999,785328.7771599999,0.7853287771599999,0.7853287771599999
PR14_ME_10,292,2686.6956557808226,784515.1314880002,784515.1314880002,0.7845151314880001,0.7845151314880001
PR6_ME_02,531,1476.7060882561207,784130.9328640001,784130.9328640001,0.784130932864,0.784130932864
FAS23_ME_13,400,1960.2507414374998,784100.2965749999,784100.2965749999,0.7841002965749999,0.7841002965749999
PR6_ME_35,515,1521.4654543533982,783554.7089920001,783554.7089920001,0.7835547089920001,0.7835547089920001
PR6_ME_22,521,1502.6534506871403,782882.4478080001,782882.4478080001,0.7828824478080001,0.7828824478080001
PR6_ME_03,470,1664.1602301276598,782155.3081600001,782155.3081600001,0.7821553081600001,0.7821553081600001
PR13_ME_07,439,1779.8058208291573,781334.7553440001,781334.7553440001,0.7813347553440001,0.7813347553440001
FAS19_ME_12,581,1342.2189345197933,779829.2009559999,779829.2009559999,0.779829200956,0.779829200956
PR22_ME_22,479,1621.168148843424,776539.5432960001,776539.5432960001,0.7765395432960001,0.7765395432960001
PR16_ME_29,402,1931.4595228656717,776446.7281920001,776446.7281920001,0.7764467281920001,0.7764467281920001
PR11_ME_13,423,1833.5004081323877,775570.67264,775570.67264,0.77557067264,0.77557067264
PR17_ME_14,467,1650.0847182012847,770589.5634,770589.5634,0.7705895634,0.7705895634
PR6_ME_47,422,1816.5161715260667,766569.8243840002,766569.8243840002,0.7665698243840001,0.7665698243840001
FAS15_ME_05,472,1624.0654634915256,766558.8987680001,766558.8987680001,0.7665588987680001,0.7665588987680001
PR1_ME_04,432,1772.5095266666667,765724.11552,765724.11552,0.76572411552,0.76572411552
PR17_ME_53,441,1733.2276408163266,764353.3896,764353.3896,0.7643533896,0.7643533896
PR17_ME_31,391,1953.5098764705883,763822.3617,763822.3617,0.7638223617000001,0.7638223617000001
