stub,total_fenestration_area_nm2,total_fenestration_area_um2,covered_area_nm2,covered_area_um2,porosity_fraction,porosity_percent
FAS23_ME_12,1116101.70135,1.11610170135,4685476.020975,4.685476020975,0.23820454877021235,23.820454877021234
FAS24_ME_28,1143066.159972,1.143066159972,4816854.764001,4.8168547640009995,0.23730550659628788,23.730550659628786
FAS24_ME_11,1676909.781872,1.676909781872,7095491.731744001,7.0954917317440005,0.23633454103960072,23.633454103960073
FAS16_ME_05,1512907.729344,1.512907729344,6417894.467424001,6.417894467424,0.23573272153713792,23.57327215371379
PR20_ME_15,1209640.7079,1.2096407079,5150589.379199999,5.1505893791999995,0.23485481346755777,23.485481346755776
PR5_ME_05,1022989.447424,1.022989447424,4363304.354944001,4.363304354944001,0.2344529201280366,23.44529201280366
PR24_ME_07,550355.5965600001,0.5503555965600001,2348930.7564800004,2.3489307564800006,0.23430047694753578,23.43004769475358
FAS24_ME_25,1364730.2739000001,1.3647302739000002,5885101.048400001,5.885101048400001,0.2318958098894552,23.189580988945522
PR13_ME_03,1019902.137072,1.019902137072,4403546.031248,4.403546031248,0.23160928257242527,23.160928257242528
FAS4_ME_new_16,1545170.1839200004,1.5451701839200005,6683022.757840001,6.683022757840001,0.23120827803666047,23.120827803666046
PR14_ME_11,1174067.208912,1.1740672089120001,5156678.528976,5.156678528976,0.22767896084946435,22.767896084946436
PR5_ME_37,637385.9201280001,0.6373859201280001,2838808.0642560003,2.8388080642560003,0.22452589456591082,22.45258945659108
PR14_ME_10,784515.1314880002,0.7845151314880001,3502990.3656000006,3.5029903656000005,0.2239558347610889,22.39558347610889
PR21_ME_06,661306.7448,0.6613067448,2962876.9761,2.9628769761,0.2231975036879426,22.31975036879426
PR5_ME_01,243852.04872000002,0.24385204872000002,1100170.015632,1.100170015632,0.22164942259394116,22.164942259394117
FAS23_ME_17,889745.3504999998,0.8897453504999998,4025435.075325,4.025435075325,0.2210308535228741,22.103085352287412
PR6_ME_43,1239910.296,1.2399102960000001,5624960.242304001,5.624960242304001,0.22043005507397667,22.043005507397666
FAS6_ME_new_13,1221892.1200640004,1.2218921200640003,5563893.024096001,5.563893024096001,0.2196110016443978,21.96110016443978
PR1_ME_06,670313.96784,0.6703139678400001,3103897.0390560003,3.103897039056,0.21595882833918523,21.595882833918523
FAS6_ME_new_25,1253157.7635,1.2531577635,5842028.5533,5.8420285533,0.21450729863210372,21.45072986321037
PR16_ME_09,998873.310208,0.998873310208,4659242.61376,4.65924261376,0.21438533963826176,21.438533963826174
FAS6_ME_new_09,966273.1848,0.9662731848,4522945.394,4.522945394000001,0.21363803907113896,21.363803907113894
PR11_ME_23,1123233.9722240001,1.1232339722240001,5273161.423872001,5.273161423872001,0.21300959366406555,21.300959366406556
FAS23_ME_06,893144.7756190001,0.8931447756190001,4201224.851028,4.201224851028,0.21259151968513562,21.259151968513564
FAS4_ME_new_19,1038747.0079360001,1.0387470079360002,4886181.421440001,4.886181421440001,0.21258871055792117,21.258871055792117
FAS23_ME_13,784100.2965749999,0.7841002965749999,3695135.5979999998,3.695135598,0.21219797644216248,21.21979764421625
FAS4_ME_new_10,728552.6431040001,0.7285526431040001,3439359.0424160003,3.439359042416,0.2118280278735376,21.18280278735376
