stub,mask_path,pixel_size_nm_per_px,covered_px,total_px,coverage_fraction,coverage_percent,covered_area_nm2,covered_area_um2,covered_area_phys2
PR16_ME_10,union_masks\PR16_ME_10_union_mask.npy,3.616,376171,786432,0.47832616170247394,47.83261617024739,4918607.358976,4.918607358976,4918607.358976
PR20_ME_15,union_masks\PR20_ME_15_union_mask.npy,3.69,375142,786432,0.47701772054036456,47.701772054036454,5107970.9862,5.1079709862,5107970.9862
PR11_ME_13,union_masks\PR11_ME_13_union_mask.npy,3.616,369759,786432,0.4701728820800781,47.01728820800781,4834767.535104,4.834767535104,4834767.535104
PR12_ME_overview05,union_masks\PR12_ME_overview05_union_mask.npy,3.652,368338,786432,0.46836598714192706,46.836598714192704,4912562.213152001,4.912562213152,4912562.213152001
PR12_ME_05,union_masks\PR12_ME_05_union_mask.npy,3.652,368338,786432,0.46836598714192706,46.836598714192704,4912562.213152001,4.912562213152,4912562.213152001
PR20_ME_19,union_masks\PR20_ME_19_union_mask.npy,3.69,367837,786432,0.4677289326985677,46.772893269856766,5008505.3757,5.0085053756999995,5008505.3757
PR12_ME_10,union_masks\PR12_ME_10_union_mask.npy,3.652,363800,786432,0.4625956217447917,46.25956217447917,4852038.435200001,4.852038435200001,4852038.435200001
PR11_ME_19,union_masks\PR11_ME_19_union_mask.npy,3.616,362984,786432,0.4615580240885417,46.15580240885417,4746181.320704,4.746181320704,4746181.320704
PR11_ME_26,union_masks\PR11_ME_26_union_mask.npy,3.616,362975,786432,0.4615465799967448,46.154657999674484,4746063.641600001,4.746063641600001,4746063.641600001
FAS6_ME_new_33,union_masks\FAS6_ME_new_33_union_mask.npy,3.69,361560,786432,0.459747314453125,45.9747314453125,4923037.115999999,4.923037116,4923037.115999999
PR16_ME_13,union_masks\PR16_ME_13_union_mask.npy,3.616,360273,786432,0.4581108093261719,45.81108093261719,4710733.759488001,4.710733759488001,4710733.759488001
PR12_ME_08,union_masks\PR12_ME_08_union_mask.npy,3.652,359653,786432,0.4573224385579427,45.732243855794266,4796729.464912001,4.796729464912001,4796729.464912001
PR20_ME_28,union_masks\PR20_ME_28_union_mask.npy,3.69,359501,786432,0.45712916056315106,45.71291605631511,4895001.5660999995,4.8950015660999995,4895001.5660999995
FAS6_ME_new_26,union_masks\FAS6_ME_new_26_union_mask.npy,3.69,358022,786432,0.45524851481119794,45.524851481119796,4874863.3542,4.8748633542,4874863.3542
PR20_ME_26,union_masks\PR20_ME_26_union_mask.npy,3.69,358017,786432,0.4552421569824219,45.52421569824219,4874795.2737,4.8747952737,4874795.2737
PR16_ME_09,union_masks\PR16_ME_09_union_mask.npy,3.616,356335,786432,0.45310338338216144,45.31033833821614,4659242.61376,4.65924261376,4659242.61376
PR16_ME_23,union_masks\PR16_ME_23_union_mask.npy,3.616,353932,786432,0.4500478108723958,45.00478108723958,4627822.2929920005,4.6278222929920005,4627822.2929920005
PR16_ME_06,union_masks\PR16_ME_06_union_mask.npy,3.616,352034,786432,0.44763437906901044,44.763437906901046,4603005.077504001,4.603005077504001,4603005.077504001
FAS6_ME_new_29,union_masks\FAS6_ME_new_29_union_mask.npy,3.69,349940,786432,0.4449717203776042,44.49717203776042,4764818.034,4.764818034,4764818.034
PR20_ME_16,union_masks\PR20_ME_16_union_mask.npy,3.69,347814,786432,0.44226837158203125,44.226837158203125,4735870.205399999,4.7358702053999995,4735870.205399999
FAS6_ME_new_34,union_masks\FAS6_ME_new_34_union_mask.npy,3.69,345500,786432,0.4393259684244792,43.93259684244792,4704362.55,4.70436255,4704362.55
PR20_ME_04,union_masks\PR20_ME_04_union_mask.npy,3.652,342339,786432,0.4353065490722656,43.53065490722656,4565810.846256001,4.565810846256001,4565810.846256001
PR11_ME_12,union_masks\PR11_ME_12_union_mask.npy,3.616,341836,786432,0.4346669514973958,43.46669514973958,4469661.577216,4.469661577216001,4469661.577216
FAS6_ME_new_37,union_masks\FAS6_ME_new_37_union_mask.npy,3.69,340674,786432,0.43318939208984375,43.318939208984375,4638651.2513999995,4.6386512514,4638651.2513999995
PR16_ME_28,union_masks\PR16_ME_28_union_mask.npy,3.616,340281,786432,0.4326896667480469,43.26896667480469,4449329.243136,4.449329243136,4449329.243136
PR20_ME_05,union_masks\PR20_ME_05_union_mask.npy,3.652,338456,786432,0.4303690592447917,43.03690592447917,4514022.871424001,4.514022871424,4514022.871424001
PR16_ME_25,union_masks\PR16_ME_25_union_mask.npy,3.616,338183,786432,0.4300219217936198,43.002192179361984,4421896.936448,4.421896936448,4421896.936448
