stub,pixel_size_nm_per_px,covered_px,total_px,coverage_fraction,coverage_percent,covered_area_nm2,covered_area_um2,n_rois,rois_per_nm2,rois_per_um2,mean_roi_area_nm2,summed_roi_area_nm2,summed_roi_area_um2,total_fenestration_area_nm2,total_fenestration_area_um2,porosity_fraction,porosity_percent
PR22_ME_21,3.652,431238,786432,0.5483474731445312,54.834747314453125,5751466.054752001,5.751466054752001,567,9.85835601918455e-05,98.58356019184549,1687.8846062222226,957030.5717280002,0.9570305717280002,957030.5717280002,0.9570305717280002,0.16639767367439792,16.63976736743979
PR10_ME_19,3.636,308453,786432,0.39221827189127606,39.22182718912761,4077901.6526880004,4.077901652688,408,0.00010005145654531949,100.0514565453195,1662.9958228235294,678502.295712,0.6785022957119999,678502.295712,0.6785022957119999,0.16638515430227618,16.638515430227617
FAS4_ME_new_08,3.652,330540,786432,0.4203033447265625,42.03033447265625,4408446.356160001,4.408446356160001,446,0.00010116942885712927,101.16942885712928,1637.8621596053813,730486.523184,0.7304865231840001,730486.523184,0.7304865231840001,0.16570157923398074,16.570157923398074
PR13_ME_07,3.692,347595,786432,0.4419898986816406,44.19898986816406,4738020.17208,4.73802017208,439,9.26547342678953e-05,92.65473426789531,1779.8058208291573,781334.7553440001,0.7813347553440001,781334.7553440001,0.7813347553440001,0.16490743537737887,16.490743537737888
PR11_ME_20,3.616,202157,786432,0.25705591837565106,25.705591837565105,2643294.958592,2.643294958592,250,9.457892664886977e-05,94.57892664886975,1741.023117312,435255.77932800003,0.435255779328,435255.77932800003,0.435255779328,0.16466409770623824,16.466409770623823
PR17_ME_21,3.69,407223,786432,0.5178108215332031,51.78108215332031,5544789.090299999,5.544789090299999,594,0.00010712760942325793,107.12760942325794,1536.7396363636362,912823.3439999999,0.9128233439999999,912823.3439999999,0.9128233439999999,0.16462724354960304,16.462724354960304
PR10_ME_07,3.636,271204,786432,0.3448537190755208,34.48537190755208,3585451.3971840004,3.5854513971840003,372,0.00010375262659875054,103.75262659875054,1585.4288899354838,589779.547056,0.589779547056,589779.547056,0.589779547056,0.1644924116163478,16.44924116163478
PR6_ME_11,3.704,405884,786432,0.5161081949869791,51.610819498697914,5568572.6205440005,5.568572620544001,500,8.978961649083323e-05,89.78961649083323,1830.141895936,915070.9479680001,0.915070947968,915070.9479680001,0.915070947968,0.16432773895989988,16.43277389598999
PR6_ME_09,3.704,277765,786432,0.3531964619954427,35.319646199544266,3810829.1382400007,3.810829138240001,366,9.604209129382118e-05,96.04209129382117,1709.6290888743172,625724.2465280001,0.6257242465280001,625724.2465280001,0.6257242465280001,0.16419635303223948,16.41963530322395
FAS6_ME_new_11,3.652,283007,786432,0.3598620096842448,35.986200968424484,3774493.7917280006,3.7744937917280006,329,8.7164006130046e-05,87.16400613004599,1881.3424302006083,618961.6595360001,0.6189616595360001,618961.6595360001,0.6189616595360001,0.16398534311872145,16.398534311872144
FAS19_ME_16,3.658,182672,786432,0.23227945963541666,23.227945963541664,2444327.4558079997,2.4443274558079997,240,9.818651728913519e-05,98.1865172891352,1669.4425210499999,400666.20505199995,0.40066620505199996,400666.20505199995,0.40066620505199996,0.16391674695629324,16.391674695629323
PR10_ME_26,3.652,626422,786432,0.7965367635091146,79.65367635091147,8354655.361888001,8.354655361888002,602,7.205563532233589e-05,72.05563532233589,2272.735571162791,1368186.8138400002,1.3681868138400002,1368186.8138400002,1.3681868138400002,0.16376340549980684,16.376340549980682
FAS4_ME_new_18,3.652,436541,786432,0.555090586344401,55.5090586344401,5822192.717264001,5.822192717264001,535,9.18897786419221e-05,91.88977864192209,1779.4438944299068,952002.4835200001,0.9520024835200002,952002.4835200001,0.9520024835200002,0.16351270556488393,16.35127055648839
PR6_ME_27,3.704,159458,786432,0.2027613321940104,20.27613321940104,2187702.5281280004,2.1877025281280003,179,8.182099608997977e-05,81.82099608997979,1991.260467486034,356435.6236800001,0.3564356236800001,356435.6236800001,0.3564356236800001,0.16292691492430608,16.29269149243061
PR6_ME_48,3.666,381500,786432,0.4851023356119792,48.51023356119792,5127190.614,5.127190614,415,8.094101258237325e-05,80.94101258237325,2009.4241210698794,833911.010244,0.833911010244,833911.010244,0.833911010244,0.16264482306684142,16.26448230668414
PR12_ME_09,3.652,328232,786432,0.4173685709635417,41.73685709635417,4377664.320128,4.377664320128001,462,0.00010553573006403821,105.5357300640382,1538.6168160000002,710840.9689920001,0.7108409689920001,710840.9689920001,0.7108409689920001,0.16237904896536598,16.237904896536598
PR10_ME_25,3.652,602834,786432,0.7665430704752604,76.65430704752603,8040059.752736001,8.040059752736001,543,6.753681150382236e-05,67.53681150382238,2401.464700346225,1303995.3322880003,1.3039953322880002,1303995.3322880003,1.3039953322880002,0.16218726880036627,16.218726880036627
